web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665084159-801","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Biologisch Conference schaal","https://www.ah.nl/producten/product/wi188474/ah-biologisch-conference-schaal","2.99","236 kJ (56 kcal)","Vet0.3 g","Koolhydraten12 g","null","Eiwitten0.2 g"
"1665084161-802","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Radijs","https://www.ah.nl/producten/product/wi212263/ah-radijs","0.89","92 kJ (22 kcal)","Vet0 g","Koolhydraten4 g","null","Eiwitten1 g"
"1665084164-803","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","Iglo Spinazie à la crème","https://www.ah.nl/producten/product/wi226440/iglo-spinazie-a-la-creme","1.85","228 kJ (55 kcal)","Vet2.6 g","Koolhydraten3.4 g","null","Eiwitten3.5 g"
"1665084166-804","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Biologisch Zoete puntpaprika","https://www.ah.nl/producten/product/wi425999/ah-biologisch-zoete-puntpaprika","2.29","110 kJ (26 kcal)","Vet0.1 g","Koolhydraten4.5 g","null","Eiwitten0.8 g"
"1665084169-805","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Maiskorrels fris en knapperig  3-pack","https://www.ah.nl/producten/product/wi509288/ah-maiskorrels-fris-en-knapperig-3-pack","1.69","299 kJ (71 kcal)","Vet1.2 g","Koolhydraten11 g","null","Eiwitten2.5 g"
"1665084171-806","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Slamelange rode biet","https://www.ah.nl/producten/product/wi418286/ah-slamelange-rode-biet","2.29","123 kJ (29 kcal)","Vet0.3 g","Koolhydraten3.2 g","null","Eiwitten2.3 g"
"1665084173-807","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Puntpaprika mix","https://www.ah.nl/producten/product/wi519871/ah-puntpaprika-mix","2.49","99 kJ (24 kcal)","Vet0.1 g","Koolhydraten3.8 g","null","Eiwitten0.8 g"
"1665084176-808","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Biologisch Royal Gala schaal","https://www.ah.nl/producten/product/wi184957/ah-biologisch-royal-gala-schaal","2.99","250 kJ (59 kcal)","Vet0.2 g","Koolhydraten13 g","null","Eiwitten0.3 g"
"1665084178-809","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","Looye Honingtomaten","https://www.ah.nl/producten/product/wi436200/looye-honingtomaten","2.99","null","null","null","null","null"
"1665084180-810","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Zakje met blauwe bessen","https://www.ah.nl/producten/product/wi376521/ah-zakje-met-blauwe-bessen","5.01","212 kJ (50 kcal)","Vet0.6 g","Koolhydraten9.5 g","null","Eiwitten0.4 g"
"1665084182-811","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","Bonduelle Mexicaans pakket met mais","https://www.ah.nl/producten/product/wi538381/bonduelle-mexicaans-pakket-met-mais","5.18","null","null","null","null","null"
"1665084185-812","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Biologisch Paprika duo","https://www.ah.nl/producten/product/wi415248/ah-biologisch-paprika-duo","2.29","105 kJ (25 kcal)","Vet0.2 g","Koolhydraten4 g","null","Eiwitten0.8 g"
"1665084187-813","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Granny Smith zak","https://www.ah.nl/producten/product/wi104815/ah-granny-smith-zak","3.79","250 kJ (59 kcal)","Vet0.2 g","Koolhydraten13 g","null","Eiwitten0.3 g"
"1665084189-814","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Granny Smith schaal","https://www.ah.nl/producten/product/wi195431/ah-granny-smith-schaal","2.79","250 kJ (59 kcal)","Vet0.2 g","Koolhydraten13 g","null","Eiwitten0.3 g"
"1665084192-815","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Snoepgroente tomatenmix","https://www.ah.nl/producten/product/wi491167/ah-snoepgroente-tomatenmix","2.39","128 kJ (31 kcal)","Vet0.8 g","Koolhydraten4 g","null","Eiwitten0.9 g"
"1665084194-816","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Spitskool","https://www.ah.nl/producten/product/wi239451/ah-spitskool","1.59","null","null","null","null","null"
"1665084197-817","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Eikenblad slamelange","https://www.ah.nl/producten/product/wi96399/ah-eikenblad-slamelange","1.29","69 kJ (16 kcal)","Vet0.4 g","Koolhydraten0.9 g","null","Eiwitten1.6 g"
"1665084199-818","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Fijngesneden andijvie grootverpakking","https://www.ah.nl/producten/product/wi160720/ah-fijngesneden-andijvie-grootverpakking","2.29","67 kJ (16 kcal)","Vet0.3 g","Koolhydraten1 g","null","Eiwitten1.5 g"
"1665084202-819","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Vastkokend","https://www.ah.nl/producten/product/wi123866/ah-vastkokend","1.69","371 kJ (88 kcal)","Vet0 g","Koolhydraten19 g","null","Eiwitten2 g"
"1665084204-820","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Rozijnen zongedroogd","https://www.ah.nl/producten/product/wi396924/ah-rozijnen-zongedroogd","1.95","1458 kJ (344 kcal)","Vet0.5 g","Koolhydraten80 g","null","Eiwitten3 g"
"1665084206-821","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Bami groente","https://www.ah.nl/producten/product/wi494450/ah-bami-groente","1.50","156 kJ (37 kcal)","Vet0.6 g","Koolhydraten4 g","null","Eiwitten2.5 g"
"1665084209-822","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Babyspinazie","https://www.ah.nl/producten/product/wi224710/ah-babyspinazie","1.29","108 kJ (26 kcal)","Vet0.6 g","Koolhydraten0.9 g","null","Eiwitten3.2 g"
"1665084211-823","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Tomatensoep verspakket","https://www.ah.nl/producten/product/wi198386/ah-tomatensoep-verspakket","3.99","121 kJ (29 kcal)","Vet1.3 g","Koolhydraten3.1 g","null","Eiwitten0.7 g"
"1665084213-824","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Rucola grootverpakking","https://www.ah.nl/producten/product/wi168092/ah-rucola-grootverpakking","1.75","91 kJ (22 kcal)","Vet0.4 g","Koolhydraten0 g","null","Eiwitten3.6 g"
"1665084215-825","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Ginger passion","https://www.ah.nl/producten/product/wi517506/ah-ginger-passion","1.00","195 kJ (46 kcal)","Vet0 g","Koolhydraten11 g","null","Eiwitten0.4 g"
"1665084218-826","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Paprika geel","https://www.ah.nl/producten/product/wi368705/ah-paprika-geel","0.99","null","null","null","null","null"
"1665084220-827","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Italiaanse lasagne verspakket","https://www.ah.nl/producten/product/wi226973/ah-italiaanse-lasagne-verspakket","4.99","495 kJ (118 kcal)","Vet6.2 g","Koolhydraten8.3 g","null","Eiwitten6.6 g"
"1665084222-828","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Biologisch Kastanjechampignons","https://www.ah.nl/producten/product/wi101132/ah-biologisch-kastanjechampignons","1.99","124 kJ (29 kcal)","Vet0.1 g","Koolhydraten4.3 g","null","Eiwitten2.5 g"
"1665084225-829","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Galia cantaloupe watermeloen","https://www.ah.nl/producten/product/wi520300/ah-galia-cantaloupe-watermeloen","1.75","142 kJ (33 kcal)","Vet0.07 g","Koolhydraten7.3 g","null","Eiwitten0.6 g"
"1665084227-830","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Snijbonen","https://www.ah.nl/producten/product/wi165336/ah-snijbonen","2.09","92 kJ (22 kcal)","Vet0.1 g","Koolhydraten2 g","null","Eiwitten1.9 g"
"1665084230-831","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Verse franse friet","https://www.ah.nl/producten/product/wi139446/ah-verse-franse-friet","1.19","618 kJ (147 kcal)","Vet5 g","Koolhydraten22 g","null","Eiwitten2.5 g"
"1665084232-832","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Radijs","https://www.ah.nl/producten/product/wi441049/ah-radijs","0.65","92 kJ (22 kcal)","Vet0 g","Koolhydraten4 g","null","Eiwitten1 g"
"1665084234-833","https://www.ah.nl/producten/aardappel-groente-fruit?page=34","AH Mini krieltjes","https://www.ah.nl/producten/product/wi476241/ah-mini-krieltjes","0.85","367 kJ (87 kcal)","Vet0.3 g","Koolhydraten18 g","null","Eiwitten2 g"
