,product name,base price,Kcal/100g,fat/100g,carb/100g,protein/100g,€/100g or ml,protein/Kcal
1113,Brunswick Sardines in soja olie,1.35,127.0,6.5,,17.0,1.8199999999999998,0.13385826771653545
1115,AH Stoofvlees gekruid,4.12,95.0,1.6,7.9,12.0,1.3699999999999999,0.12631578947368421
1116,The Dutch weedburger Sea nuggets,2.69,216.0,8.9,26.1,5.7,2.04,0.02638888888888889
1117,Wahid Kip bbq worst,3.69,256.0,19.0,4.6,12.6,1.08,0.04921875
1118,AH Gamba's gekookt,3.49,81.0,,,18.0,1.7399999999999998,0.2222222222222222
1119,Fish Tales Skipjack tonijn in olijfolie 2-pack,2.54,146.0,5.1,,25.0,2.1100000000000003,0.17123287671232876
1120,Statesman Makreel op de huid in zonnebloemolie,1.45,324.0,28.0,0.1,18.0,1.61,0.05555555555555555
1122,Rio Mare Tuna for pasta puttanesca,3.89,277.0,25.0,1.5,11.0,2.43,0.039711191335740074
1123,Rootzz of Nature Jackfruit saté,4.29,200.0,10.2,20.2,5.7,1.4300000000000002,0.0285
1124,Marhaba Kipballetjes,2.99,227.0,16.0,7.3,13.0,1.19,0.05726872246696035
1125,Rootzz of Nature Jackfruit reepjes,3.75,147.0,,6.4,15.3,2.34,0.10408163265306122
1126,AH Scharrel kipfilet à la minute,5.79,114.0,1.2,,25.0,1.41,0.21929824561403508
1127,Fish Tales Verse zeeuwse mosselen,6.74,125.0,,,17.0,0.5900000000000001,0.136
1128,AH Crispy chicken chunks,3.99,174.0,5.9,17.0,13.0,1.1400000000000001,0.07471264367816093
