web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665128292-85","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Ah pistolet boulogne volk","https://www.ah.nl/producten/product/wi230732/ah-ah-pistolet-boulogne-volk","0.35","1195 kJ (284 kcal)","Vet6.6 g","Koolhydraten38 g","null","Eiwitten14 g"
"1665128295-86","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Triangel meergranen wit","https://www.ah.nl/producten/product/wi230731/ah-triangel-meergranen-wit","0.65","978 kJ (232 kcal)","Vet3.7 g","Koolhydraten39 g","null","Eiwitten8.9 g"
"1665128297-87","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Notenkoek","https://www.ah.nl/producten/product/wi230727/ah-notenkoek","1.50","1436 kJ (341 kcal)","Vet8.5 g","Koolhydraten59 g","null","Eiwitten5.1 g"
"1665128300-88","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Maple pecan vlechtbroodje","https://www.ah.nl/producten/product/wi230726/ah-maple-pecan-vlechtbroodje","0.65","1723 kJ (413 kcal)","Vet27 g","Koolhydraten36 g","null","Eiwitten6.1 g"
"1665128302-89","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Roomboter appelflap","https://www.ah.nl/producten/product/wi230725/ah-roomboter-appelflap","0.75","null","null","null","null","null"
"1665128305-90","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Saucijzenbroodje","https://www.ah.nl/producten/product/wi230724/ah-saucijzenbroodje","0.85","1554 kJ (373 kcal)","Vet25 g","Koolhydraten29 g","null","Eiwitten7.5 g"
"1665128307-91","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Rb amandelspijs gevulde koek","https://www.ah.nl/producten/product/wi230721/ah-rb-amandelspijs-gevulde-koek","0.60","1796 kJ (429 kcal)","Vet21 g","Koolhydraten52 g","null","Eiwitten6.6 g"
"1665128309-92","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Pistolet wit","https://www.ah.nl/producten/product/wi230718/ah-pistolet-wit","0.39","1157 kJ (273 kcal)","Vet1.1 g","Koolhydraten55 g","null","Eiwitten9 g"
"1665128312-93","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Pistolet bruin","https://www.ah.nl/producten/product/wi230717/ah-pistolet-bruin","0.39","1064 kJ (252 kcal)","Vet1.3 g","Koolhydraten48 g","null","Eiwitten8.9 g"
"1665128314-94","https://www.ah.nl/producten/bakkerij-en-banket?page=40","AH Italiaanse bol wit","https://www.ah.nl/producten/product/wi230715/ah-italiaanse-bol-wit","0.75","1039 kJ (245 kcal)","Vet1.5 g","Koolhydraten48 g","null","Eiwitten8.9 g"
