web-scraper-order,web-scraper-start-url,link-selector,link-selector-href,product-base-price-selector,product-calorie-selector,product-fat-selector,product-carb-selector,product-price-kilo-selector,product-protein-selector
"1665117930-181","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Unox Vega ballen in tomaten saus","https://www.ah.nl/producten/product/wi537050/unox-vega-ballen-in-tomaten-saus","3.99","105 kcal (438 kJ)","Vet3.4 g","Koolhydraten11 g","Prijs per KG € 9,50","Eiwitten6 g"
"1665117932-182","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Streeckgenoten Gerookte hele makreel","https://www.ah.nl/producten/product/wi507527/streeckgenoten-gerookte-hele-makreel","3.21","1456 kJ (351 kcal)","Vet30.1 g","Koolhydraten0 g","Prijs per KG € 10,69","Eiwitten19.6 g"
"1665117935-183","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Ortiz Tonijn Borrelblikje","https://www.ah.nl/producten/product/wi480679/ortiz-tonijn-borrelblikje","3.49","1262 kJ (302 kcal)","Vet22.2 g","Koolhydraten0 g","Prijs per KG € 31,16","Eiwitten25.6 g"
"1665117937-184","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Zalmforel eitjes","https://www.ah.nl/producten/product/wi514927/ah-zalmforel-eitjes","5.99","760 kJ (181 kcal)","Vet7.8 g","Koolhydraten1 g","Prijs per KG € 119,80","Eiwitten26 g"
"1665117939-185","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","John West Extravita olijf & lijnzaad tonijn","https://www.ah.nl/producten/product/wi514197/john-west-extravita-olijf-en-lijnzaad-tonijn","2.99","849 kJ (203 kcal)","Vet11 g","Koolhydraten0 g","Prijs per KG € 24,92","Eiwitten26 g"
"1665117942-186","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Oumph! Classic balls","https://www.ah.nl/producten/product/wi510460/oumph-classic-balls","3.99","774 kJ (185 kcal)","Vet10 g","Koolhydraten7.7 g","Prijs per KG € 14,25","Eiwitten13 g"
"1665117944-187","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Streeckgenoten Mosselen a la minute uit Yerseke","https://www.ah.nl/producten/product/wi502689/streeckgenoten-mosselen-a-la-minute-uit-yerseke","5.99","401 kJ (95 kcal)","Vet2.2 g","Koolhydraten6.4 g","Prijs per KG € 9,22","Eiwitten12 g"
"1665117946-188","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","John West Ansjovisfilet  in extra virgin olijfolie","https://www.ah.nl/producten/product/wi496878/john-west-ansjovisfilet-in-extra-virgin-olijfolie","2.15","741 kJ (177 kcal)","Vet8 g","Koolhydraten0 g","Prijs per KG € 47,78","Eiwitten26.2 g"
"1665117948-189","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Rundergehakt","https://www.ah.nl/producten/product/wi486103/ah-rundergehakt","4.19","1094 kJ (263 kcal)","Vet20 g","Koolhydraten0.8 g","Prijs per KG € 13,97","Eiwitten20 g"
"1665117951-190","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Vegan ballatjes in satsaus","https://www.ah.nl/producten/product/wi458975/ah-vegan-ballatjes-in-satsaus","2.99","812 kJ (195 kcal)","Vet13 g","Koolhydraten9.7 g","Prijs per KG € 5,98","Eiwitten8.5 g"
"1665117953-191","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Rio Mare Tonijn limone e pepe nero","https://www.ah.nl/producten/product/wi455138/rio-mare-tonijn-limone-e-pepe-nero","4.45","306 kcal (1270 kJ)","Vet25 g","Koolhydraten1 g","Normale prijs per KG € 42,79","Eiwitten20 g"
"1665117955-192","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Unox Vega ballen in satesaus","https://www.ah.nl/producten/product/wi537049/unox-vega-ballen-in-satesaus","3.99","156 kcal (654 kJ)","Vet8.5 g","Koolhydraten10 g","Prijs per KG € 9,50","Eiwitten8.4 g"
"1665117958-193","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Picard Hacao garnaal","https://www.ah.nl/producten/product/wi533838/picard-hacao-garnaal","4.29","607 kJ (144 kcal)","Vet3.1 g4%","Koolhydraten20 g8%","Prijs per KG € 25,24","Eiwitten8.8 g18%"
"1665117960-194","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","AH Hertenbiefstuk truffelmarinade","https://www.ah.nl/producten/product/wi524861/ah-hertenbiefstuk-truffelmarinade","8.25","693 kJ (166 kcal)","Vet9.3 g","Koolhydraten0.4 g","Prijs per KG € 32,99","Eiwitten20 g"
"1665117962-195","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Streeckgenoten Boeuf stroganoff","https://www.ah.nl/producten/product/wi507652/streeckgenoten-boeuf-stroganoff","4.49","409 kJ (98 kcal)","Vet4 g","Koolhydraten4 g","Prijs per KG € 11,23","Eiwitten11 g"
"1665117964-196","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Streeckgenoten Gerookte maatjesharing uit IJmuiden","https://www.ah.nl/producten/product/wi502469/streeckgenoten-gerookte-maatjesharing-uit-ijmuiden","2.99","623 kJ (150 kcal)","Vet9.8 g","Koolhydraten0.2 g","Prijs per KG € 19,93","Eiwitten15 g"
"1665117967-197","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Jos Poell Krokante cupjes naturel","https://www.ah.nl/producten/product/wi404029/jos-poell-krokante-cupjes-naturel","2.09","2285 kJ (550 kcal)","Vet33 g","Koolhydraten50 g","Prijs per KG € 29,03","Eiwitten11 g"
"1665117969-198","https://www.ah.nl/producten/vlees-kip-vis-vega?page=35","Jean Larnaudie Cuisses de canard maigre confites","https://www.ah.nl/producten/product/wi238060/jean-larnaudie-cuisses-de-canard-maigre-confites","16.99","947 kJ (227 kcal)","Vet14 g","Koolhydraten< 0.5 g","Prijs per KG € 13,70","Eiwitten25 g"
